306, 0
473, 6
385, 2
295, 9
290, 7
435, 9
446, 8
258, 3
500, 9
359, 2
428, 1
363, 8
492, 1
477, 0
334, 5
395, 0
440, 0
447, 0
458, 4
486, 10
370, 6
251, 2
474, 7
371, 1
252, 2
472, 6
296, 10
430, 2
491, 9
387, 3
478, 5
459, 6
349, 2
482, 8
484, 8
431, 8
480, 6
436, 1
434, 8
380, 8
346, 4
416, 7
313, 0
431, 5
251, 2
498, 10
270, 8
331, 1
368, 5
295, 3
494, 9
270, 0
268, 1
473, 9
450, 2
359, 4
497, 8
467, 2
427, 2
400, 9
261, 2
290, 5
357, 6
402, 9
349, 5
440, 0
407, 3
434, 8
410, 0
354, 4
439, 3
370, 8
439, 10
468, 8
438, 2
436, 6
459, 3
288, 9
255, 10
301, 4
408, 10
465, 8
451, 9
310, 10
288, 3
357, 1
257, 9
338, 2
351, 1
363, 2
459, 4
273, 1
464, 5
439, 2
281, 5
495, 8
345, 4
410, 3
472, 8
493, 7
297, 9
316, 10
297, 0
492, 4
359, 0
483, 0
292, 9
413, 3
291, 0
402, 8
492, 8
264, 6
265, 5
264, 10
422, 3
384, 2
426, 1
314, 9
308, 6
359, 5
347, 5
332, 7
298, 7
366, 5
401, 7
375, 3
264, 4
446, 1
484, 0
446, 5
305, 6
463, 1
293, 0
362, 1
250, 0
455, 7
429, 5
334, 7
321, 10
318, 0
407, 0
314, 6
404, 10
436, 2
254, 6
428, 5
436, 8
459, 7
391, 0
434, 3
364, 7
261, 0
466, 7
328, 7
293, 9
354, 7
398, 3
457, 2
489, 1
269, 2
369, 10
463, 8
455, 0
497, 3
339, 8
363, 3
331, 0
480, 7
367, 8
443, 10
266, 7
353, 1
270, 9
350, 10
327, 1
471, 8
432, 4
382, 5
352, 8
346, 3
361, 7
359, 7
338, 9
383, 5
384, 9
375, 4
431, 3
308, 10
297, 8
373, 8
267, 6
271, 4
372, 2
360, 6
497, 9
330, 6
258, 5
295, 10
366, 9
292, 9
307, 0
335, 9
446, 7
333, 6
481, 10
463, 1
365, 0
299, 2
288, 2
265, 9
424, 2
455, 6
417, 0
398, 0
312, 7
260, 2
336, 4
468, 0
439, 6
267, 1
300, 5
448, 5
294, 6
259, 1
320, 9
292, 9
311, 0
259, 10
327, 7
373, 5
273, 4
339, 3
429, 9
378, 0
445, 8
478, 9
455, 10
265, 6
350, 10
276, 2
354, 5
417, 4
347, 5
401, 2
377, 0
498, 4
483, 2
441, 7
318, 6
446, 3
381, 1
310, 2
422, 1
311, 5
387, 10
476, 4
389, 5
324, 7
280, 3
263, 5
468, 6
478, 5
466, 10
493, 0
379, 9
370, 8
414, 4
499, 8
273, 9
463, 5
419, 3
475, 10
481, 9
421, 5
485, 6
362, 2
337, 8
314, 7
407, 5
460, 10
419, 1
369, 1
415, 6
472, 9
364, 4
492, 3
455, 7
423, 4
345, 6
490, 1
467, 6
396, 6
282, 6
324, 9
307, 9
377, 4
310, 2
309, 6
490, 3
359, 1
336, 5
346, 9
446, 5
328, 9
420, 7
317, 3
252, 9
289, 6
341, 9
472, 7
474, 6
303, 0
435, 4
483, 3
296, 7
407, 9
255, 7
365, 6
271, 7
256, 2
456, 7
337, 4
345, 7
251, 0
468, 1
361, 7
424, 2
472, 2
271, 5
259, 10
433, 2
268, 2
493, 5
450, 4
465, 5
431, 4
444, 3
366, 1
377, 2
275, 5
389, 3
290, 0
309, 4
298, 6
293, 1
498, 7
421, 2
405, 9
431, 2
399, 7
481, 7
385, 7
260, 9
415, 9
266, 5
317, 5
380, 8
401, 10
252, 1
401, 0
336, 8
469, 8
392, 10
474, 5
412, 10
265, 2
382, 0
344, 1
269, 4
290, 10
318, 7
433, 5
338, 4
324, 10
275, 7
292, 4
324, 7
281, 3
485, 5
266, 6
325, 6
262, 5
392, 7
468, 6
268, 6
333, 6
403, 1
290, 0
414, 6
366, 6
320, 10
389, 0
469, 2
450, 0
265, 1
464, 0
499, 1
304, 3
358, 3
438, 9
399, 7
379, 6
305, 0
426, 3
302, 7
374, 6
414, 2
450, 5
332, 2
344, 7
299, 0
414, 8
475, 9
288, 7
457, 2
480, 0
263, 9
474, 7
304, 6
335, 8
356, 7
389, 4
450, 7
328, 1
425, 6
446, 9
360, 9
432, 2
475, 3
394, 8
312, 10
344, 7
451, 8
454, 6
470, 1
427, 8
281, 8
425, 8
344, 4
402, 6
412, 7
326, 6
299, 8
365, 9
498, 2
362, 3
416, 5
489, 4
337, 5
271, 3
253, 2
370, 5
415, 9
336, 10
256, 5
325, 7
347, 0
480, 5
296, 6
317, 5
273, 7
479, 8
336, 8
327, 8
469, 2
499, 1
299, 3
436, 0
461, 9
384, 10
300, 3
321, 0
293, 8
445, 0
398, 0
371, 9
446, 6
421, 9
422, 2
498, 8
478, 7
325, 9
483, 0
288, 0
422, 8
382, 1
324, 8
366, 10
316, 1
278, 10
317, 5
354, 7
337, 4
372, 4
409, 5
270, 2
340, 0
415, 4
488, 6
460, 9
